=== Run information ===

Scheme:       weka.classifiers.trees.RandomForest -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
Relation:     letter
Instances:    16000
Attributes:   17
              x-box
              y-box
              width
              high
              onpix
              x-bar
              y-bar
              x2bar
              y2bar
              xybar
              x2ybr
              xy2br
              x-ege
              xegvy
              y-ege
              yegvx
              class
Test mode:    10-fold cross-validation

=== Classifier model (full training set) ===

RandomForest

Bagging with 100 iterations and base learner

weka.classifiers.trees.RandomTree -K 0 -M 1.0 -V 0.001 -S 1 -do-not-check-capabilities

Time taken to build model: 9.4 seconds

=== Predictions on test data ===

    inst#     actual  predicted error prediction
      217        6:F        6:F       0.75 
      218        6:F        6:F       1 
      219        6:F       16:P   +   0.69 
      220        6:F        6:F       0.92 
      221        6:F        6:F       1 
      222        6:F        6:F       0.94 
      223        6:F        6:F       0.92 
      224        6:F        6:F       0.59 
      225        6:F        6:F       0.61 
      226        6:F        6:F       0.85 
      227        6:F        6:F       1 
      228        6:F        6:F       1 
      229        6:F        6:F       0.49 
      230        6:F        6:F       0.98 
      231        6:F        6:F       1 
      232        6:F        6:F       0.59 
      233        6:F        6:F       1 
      234        6:F        6:F       0.93 
      235        6:F        6:F       0.83 
      236        6:F        6:F       0.45 
      237        6:F        6:F       0.99 
      238        6:F        6:F       1 
      239        6:F        6:F       0.96 
      240        6:F        6:F       0.68 
      241        6:F        6:F       0.49 
      242        6:F        6:F       0.33 
      243        6:F        6:F       0.81 
      244        6:F        6:F       0.35 
      245        6:F        6:F       0.34 
      246        6:F        6:F       1 
      247        6:F        6:F       0.98 
      248       12:L       12:L       1 
      249       12:L       12:L       1 
      250       12:L       12:L       0.67 
      251       12:L       12:L       0.99 
      252       12:L       12:L       0.99 
      253       12:L       12:L       0.95 
      254       12:L       12:L       0.7 
      255       12:L       12:L       0.99 
      256       12:L       12:L       1 
      257       12:L       12:L       1 
      258       12:L       12:L       1 
      259       12:L       12:L       1 
      260       12:L       12:L       1 
      261       12:L       12:L       0.9 
      262       12:L       12:L       0.87 
      263       12:L       12:L       1 
      264       12:L       12:L       0.85 
      265       12:L       12:L       0.47 
      266       12:L        2:B   +   0.2 
      267       12:L       12:L       1 
      268       12:L       12:L       0.4 
      269       12:L       24:X   +   0.23 
      270       12:L       12:L       1 
      271       12:L       12:L       0.93 
      272       12:L       12:L       1 
      273       12:L       12:L       1 
      274       12:L       12:L       0.99 
      275       12:L       12:L       0.95 
      276       12:L       12:L       0.58 
      277       12:L       12:L       1 
      278       12:L       12:L       1 
      279       12:L       12:L       1 
      280       12:L       12:L       0.93 
      281       12:L       12:L       1 
      282       12:L       12:L       1 
      283       12:L       12:L       0.47 
      284       12:L       12:L       1 
      285       12:L       12:L       0.73 
      286       12:L       12:L       0.35 
      287       12:L       12:L       1 
      288       12:L       12:L       0.98 
      289       12:L       12:L       0.7 
      290       12:L       12:L       0.81 
      291       12:L       12:L       1 
      292       12:L       12:L       1 
      293       12:L       12:L       0.54 
      294       12:L       12:L       0.81 
      295       12:L       12:L       1 
      296       12:L       12:L       1 
      297       12:L       12:L       1 
      298       12:L       12:L       0.99 
      299       12:L       12:L       1 
      300       12:L       12:L       0.59 
      301       12:L       12:L       1 
      302       12:L       12:L       0.33 
      303       12:L       12:L       1 
      304       12:L       12:L       1 
      305       12:L       12:L       1 
      306       12:L       12:L       1 
      307       12:L       12:L       1 
      308       23:W       23:W       0.5 
      309       23:W       21:U   +   0.37 
      310       23:W       23:W       0.57 
      311       23:W       23:W       0.97 
      312       23:W       23:W       1 
      313       23:W       23:W       1 
      314       23:W       23:W       0.3 
      315       23:W       23:W       1 
      316       23:W       23:W       0.83 
      317       23:W       23:W       1 
      318       23:W       23:W       0.96 
      319       23:W       23:W       1 
      320       23:W       23:W       0.99 
      321       23:W       23:W       0.98 
      322       23:W       23:W       1 
      323       23:W       23:W       0.48 
      324       23:W       23:W       0.97 
      325       23:W       23:W       1 
      326       23:W       23:W       1 
      327       23:W       23:W       0.98 
      328       23:W       23:W       0.99 
      329       23:W       23:W       1 
      330       23:W       23:W       1 
      331       23:W       23:W       1 
      332       23:W       23:W       0.93 
      333       23:W       23:W       0.7 
      334       23:W       23:W       1 
      335       23:W       23:W       1 
      336       23:W       23:W       1 
      337       23:W       23:W       1 
      338       23:W       23:W       0.92 
      339       23:W       23:W       1 
      340       23:W       23:W       0.9 
      341       23:W       23:W       1 
      342       23:W       13:M   +   0.16 
      343       23:W       23:W       0.99 
      344       23:W       23:W       1 
      345       23:W       23:W       1 
      346       23:W       23:W       1 
      347       23:W       23:W       0.95 
      348       23:W       23:W       0.99 
      349       23:W       23:W       1 
      350       23:W       23:W       1 
      351       23:W       23:W       1 
      352       23:W       23:W       0.5 
      353       23:W       23:W       1 
      354       23:W       23:W       0.92 
      355       23:W       23:W       0.66 
      356       23:W       23:W       0.5 
      357       23:W       23:W       0.63 
      358       23:W       23:W       0.89 
      359       23:W       23:W       1 
      360       23:W       23:W       1 
      361       23:W       23:W       0.95 
      362       23:W       23:W       1 
      363       23:W       23:W       0.87 
      364       23:W       23:W       0.97 
      365       23:W       23:W       0.91 
      366       23:W       23:W       1 
      367       23:W       23:W       1 
      368       23:W       23:W       0.97 
      369        3:C        3:C       1 
      370        3:C        3:C       0.95 
      371        3:C        3:C       0.97 
      372        3:C        3:C       0.99 
      373        3:C        3:C       0.91 
      374        3:C        3:C       1 
      375        3:C        3:C       0.7 
      376        3:C        3:C       1 
      377        3:C        3:C       1 
      378        3:C        3:C       1 
      379        3:C        3:C       0.59 
      380        3:C        3:C       0.86 
      381        3:C        3:C       0.23 
      382        3:C        3:C       0.86 
      383        3:C        3:C       0.66 
      384        3:C        3:C       0.96 
      385        3:C        3:C       0.2 
      386        3:C        3:C       0.81 
      387        3:C        3:C       0.35 
      388        3:C        3:C       0.6 
      389        3:C        3:C       0.8 
      390        3:C        3:C       1 
      391        3:C        3:C       0.45 
      392        3:C        3:C       1 
      393        3:C        3:C       0.99 
      394        3:C        5:E   +   0.42 
      395        3:C        3:C       1 
      396        3:C        3:C       1 
      397        3:C        3:C       0.86 
      398        3:C        3:C       0.88 
      399        3:C        3:C       0.88 
      400        3:C        3:C       0.69 
      401        3:C        3:C       1 
      402        3:C        3:C       0.72 
      403        3:C        3:C       1 
      404        3:C        3:C       1 
      405        3:C        3:C       0.89 
      406        3:C        3:C       1 
      407        3:C        3:C       0.99 
      408        3:C        3:C       0.65 
      409        3:C        3:C       0.85 
      410        3:C        3:C       0.91 
      411        3:C        3:C       0.96 
      412        3:C        3:C       0.35 
      413        3:C        3:C       0.46 
      414        3:C        3:C       1 
      415        3:C        3:C       0.98 
      416        3:C        3:C       0.56 
      417        3:C        3:C       1 
      418        3:C        3:C       1 
      419        3:C        3:C       1 
      420        3:C        3:C       0.55 
      421        3:C        3:C       1 
      422        3:C        3:C       1 
      423        3:C       17:Q   +   0.21 
      424        3:C        3:C       0.67 
      425        3:C        3:C       1 
      426        3:C        3:C       1 
      427        3:C        3:C       0.5 
      428       24:X       24:X       0.6 
      429       24:X       24:X       1 
      430       24:X       24:X       1 
      431       24:X       24:X       0.52 
      432       24:X       24:X       1 
      433       24:X       24:X       0.53 
      434       24:X       24:X       0.98 
      435       24:X       24:X       1 
      436       24:X       24:X       1 
      437       24:X       24:X       1 
      438       24:X       24:X       1 
      439       24:X       24:X       0.97 
      440       24:X       24:X       0.93 
      441       24:X       24:X       0.94 
      442       24:X       24:X       0.33 
      443       24:X       24:X       0.8 
      444       24:X       24:X       0.97 
      445       24:X       24:X       0.85 
      446       24:X       24:X       1 
      447       24:X       24:X       0.5 
      448       24:X       24:X       0.89 
      449       24:X       24:X       0.74 
      450       24:X       24:X       0.9 
      451       24:X       24:X       0.61 
      452       24:X       24:X       0.93 
      453       24:X       24:X       0.47 
      454       24:X       24:X       0.46 
      455       24:X       24:X       0.9 
      456       24:X       24:X       0.6 
      457       24:X       24:X       0.76 
      458       24:X       24:X       0.64 
      459       24:X       24:X       1 
      460       24:X       24:X       0.96 
      461       24:X       24:X       0.92 
      462       24:X       24:X       0.59 
      463       24:X       24:X       0.71 
      464       24:X       24:X       0.92 
      465       24:X        5:E   +   0.39 
      466       24:X       24:X       0.83 
      467       24:X       24:X       1 
      468       24:X       24:X       1 
      469       24:X       24:X       0.69 
      470       24:X       24:X       0.67 
      471       24:X       24:X       0.97 
      472       24:X       24:X       0.78 
      473       24:X       24:X       0.88 
      474       24:X       24:X       0.86 
      475       24:X       24:X       0.67 
      476       24:X       24:X       0.72 
      477       24:X       24:X       0.95 
      478       24:X        8:H   +   0.37 
      479       24:X       24:X       1 
      480       24:X       24:X       0.67 
      481       24:X       11:K   +   0.47 
      482       24:X       24:X       1 
      483       24:X       24:X       1 
      484       24:X       24:X       0.27 
      485       24:X       24:X       1 
      486       24:X       24:X       0.7 
      487       24:X       24:X       1 
      488       24:X       24:X       0.58 
      489       24:X       24:X       0.6 
      490       19:S       19:S       0.75 
      491       19:S       19:S       1 
      492       19:S       19:S       0.73 
      493       19:S       19:S       0.86 
      494       19:S       19:S       0.26 
      495       19:S       19:S       0.99 
      496       19:S       19:S       0.53 
      497       19:S       19:S       0.94 
      498       19:S       19:S       0.65 
      499       19:S       19:S       0.95 
      500       19:S       19:S       0.82 
      501       19:S       19:S       0.61 
      502       19:S       19:S       0.48 
      503       19:S       19:S       0.92 
      504       19:S       10:J   +   0.32 
      505       19:S       19:S       0.86 
      506       19:S       19:S       0.36 
      507       19:S       19:S       0.97 
      508       19:S       19:S       0.27 
      509       19:S       19:S       0.93 
      510       19:S       19:S       0.77 
      511       19:S       19:S       0.99 
      512       19:S       19:S       0.74 
      513       19:S       19:S       0.36 
      514       19:S       19:S       0.57 
      515       19:S       19:S       0.63 
      516       19:S       19:S       0.37 
      517       19:S       19:S       0.95 
      518       19:S       19:S       0.5 
      519       19:S       19:S       0.92 
      520       19:S       19:S       0.73 
      521       19:S       19:S       0.91 
      522       19:S       19:S       0.78 
      523       19:S       19:S       0.89 
      524       19:S       19:S       0.69 
      525       19:S       19:S       0.78 
      526       19:S       19:S       0.53 
      527       19:S       19:S       0.61 
      528       19:S       19:S       0.98 
      529       19:S       19:S       0.64 
      530       19:S       19:S       0.91 
      531       19:S       19:S       0.98 
      532       19:S       19:S       0.86 
      533       19:S       19:S       0.75 
      534       19:S       19:S       0.8 
      535       19:S       19:S       0.82 
      536       19:S       19:S       0.75 
      537       19:S       19:S       0.76 
      538       19:S       19:S       0.96 
      539       19:S       19:S       0.66 
      540       19:S       19:S       0.36 
      541       19:S       19:S       0.88 
      542       19:S       19:S       0.91 
      543       19:S       19:S       0.8 
      544       19:S       19:S       0.99 
      545       19:S       19:S       0.82 
      546       19:S       19:S       0.55 
      547       19:S       19:S       0.73 
      548       19:S       19:S       0.83 
      549       19:S       19:S       0.76 
      550        5:E        5:E       0.53 
      551        5:E        5:E       1 
      552        5:E        5:E       0.78 
      553        5:E        5:E       0.92 
      554        5:E        5:E       0.79 
      555        5:E        5:E       0.61 
      556        5:E        5:E       0.96 
      557        5:E        5:E       1 
      558        5:E        5:E       0.6 
      559        5:E        5:E       1 
      560        5:E        5:E       1 
      561        5:E        5:E       0.71 
      562        5:E        5:E       1 
      563        5:E        5:E       0.98 
      564        5:E        5:E       0.93 
      565        5:E        5:E       0.83 
      566        5:E        5:E       0.9 
      567        5:E        7:G   +   0.21 
      568        5:E        5:E       0.81 
      569        5:E        5:E       0.73 
      570        5:E        5:E       1 
      571        5:E        5:E       0.51 
      572        5:E        5:E       1 
      573        5:E        5:E       0.99 
      574        5:E        5:E       1 
      575        5:E        5:E       0.8 
      576        5:E        5:E       0.85 
      577        5:E        7:G   +   0.49 
      578        5:E        5:E       0.67 
      579        5:E        5:E       0.79 
      580        5:E        5:E       0.73 
      581        5:E        5:E       0.68 
      582        5:E        5:E       1 
      583        5:E        5:E       0.67 
      584        5:E        5:E       0.64 
      585        5:E        5:E       0.5 
      586        5:E        5:E       0.74 
      587        5:E        5:E       0.82 
      588        5:E        5:E       1 
      589        5:E        5:E       1 
      590        5:E        5:E       1 
      591        5:E        5:E       1 
      592        5:E        5:E       0.97 
      593        5:E        5:E       0.54 
      594        5:E        5:E       0.44 
      595        5:E        5:E       0.71 
      596        5:E        5:E       0.75 
      597        5:E        5:E       0.42 
      598        5:E        5:E       1 
      599        5:E        5:E       0.7 
      600        5:E        5:E       0.32 
      601        5:E        5:E       1 
      602        5:E        5:E       1 
      603        5:E        5:E       0.49 
      604        5:E        5:E       0.77 
      605        5:E        5:E       0.78 
      606        5:E        5:E       1 
      607        5:E        3:C   +   0.29 
      608        5:E        5:E       0.44 
      609        5:E        5:E       0.51 
      610        5:E        5:E       1 
      611       26:Z       26:Z       1 
      612       26:Z       26:Z       0.47 
      613       26:Z       26:Z       0.65 
      614       26:Z       26:Z       1 
      615       26:Z       26:Z       0.82 
      616       26:Z       26:Z       0.92 
      617       26:Z       26:Z       0.98 
      618       26:Z       26:Z       0.64 
      619       26:Z       26:Z       0.97 
      620       26:Z       26:Z       0.49 
      621       26:Z       26:Z       0.65 
      622       26:Z       26:Z       1 
      623       26:Z       26:Z       0.42 
      624       26:Z       26:Z       1 
      625       26:Z       26:Z       1 
      626       26:Z       26:Z       0.59 
      627       26:Z       26:Z       0.98 
      628       26:Z       26:Z       1 
      629       26:Z       26:Z       0.93 
      630       26:Z       26:Z       0.53 
      631       26:Z       26:Z       0.8 
      632       26:Z       26:Z       1 
      633       26:Z       26:Z       0.81 
      634       26:Z       26:Z       0.32 
      635       26:Z       26:Z       0.88 
      636       26:Z       26:Z       0.96 
      637       26:Z       26:Z       0.31 
      638       26:Z       26:Z       0.22 
      639       26:Z       26:Z       0.98 
      640       26:Z       26:Z       0.9 
      641       26:Z       26:Z       0.92 
      642       26:Z       26:Z       0.69 
      643       26:Z       26:Z       1 
      644       26:Z       26:Z       0.63 
      645       26:Z       26:Z       1 
      646       26:Z       26:Z       0.75 
      647       26:Z       26:Z       1 
      648       26:Z       26:Z       1 
      649       26:Z       26:Z       0.25 
      650       26:Z       26:Z       1 
      651       26:Z       26:Z       0.99 
      652       26:Z       26:Z       0.53 
      653       26:Z       26:Z       0.25 
      654       26:Z       26:Z       0.99 
      655       26:Z       26:Z       1 
      656       26:Z       26:Z       0.78 
      657       26:Z       26:Z       1 
      658       26:Z       26:Z       0.99 
      659       26:Z       26:Z       0.95 
      660       26:Z       26:Z       0.96 
      661       26:Z       26:Z       1 
      662       26:Z       26:Z       0.84 
      663       26:Z       26:Z       1 
      664       26:Z       26:Z       0.82 
      665       26:Z       26:Z       0.99 
      666       26:Z       26:Z       1 
      667       26:Z       26:Z       1 
      668       26:Z       26:Z       0.51 
      669       26:Z       26:Z       0.56 
      670        7:G        7:G       1 
      671        7:G        7:G       0.86 
      672        7:G        7:G       0.84 
      673        7:G        7:G       0.97 
      674        7:G        7:G       1 
      675        7:G       20:T   +   0.16 
      676        7:G        7:G       0.93 
      677        7:G        7:G       0.55 
      678        7:G        7:G       0.57 
      679        7:G        7:G       0.71 
      680        7:G        7:G       0.73 
      681        7:G        7:G       0.97 
      682        7:G        7:G       0.94 
      683        7:G        7:G       0.97 
      684        7:G        7:G       0.42 
      685        7:G        7:G       0.56 
      686        7:G        7:G       0.88 
      687        7:G        7:G       0.96 
      688        7:G        5:E   +   0.35 
      689        7:G        7:G       0.75 
      690        7:G        7:G       0.45 
      691        7:G        5:E   +   0.22 
      692        7:G        7:G       0.81 
      693        7:G        7:G       0.83 
      694        7:G        7:G       1 
      695        7:G        7:G       0.49 
      696        7:G        7:G       0.97 
      697        7:G       18:R   +   0.31 
      698        7:G       15:O   +   0.3 
      699        7:G        7:G       0.62 
      700        7:G        7:G       0.96 
      701        7:G        7:G       0.92 
      702        7:G       15:O   +   0.31 
      703        7:G        7:G       0.93 
      704        7:G        7:G       0.76 
      705        7:G        7:G       0.84 
      706        7:G        5:E   +   0.2 
      707        7:G        7:G       0.73 
      708        7:G        7:G       0.98 
      709        7:G        7:G       0.95 
      710        7:G        7:G       0.94 
      711        7:G        7:G       0.5 
      712        7:G        7:G       0.96 
      713        7:G        7:G       1 
      714        7:G        7:G       1 
      715        7:G        7:G       0.93 
      716        7:G        7:G       0.52 
      717        7:G        5:E   +   0.37 
      718        7:G        5:E   +   0.29 
      719        7:G        7:G       0.93 
      720        7:G        7:G       0.98 
      721        7:G        7:G       0.95 
      722        7:G        7:G       0.83 
      723        7:G        7:G       1 
      724        7:G        7:G       0.53 
      725        7:G        7:G       0.85 
      726        7:G        7:G       0.76 
      727        7:G        7:G       0.97 
      728       11:K       11:K       1 
      729       11:K       11:K       0.68 
      730       11:K        8:H   +   0.25 
      731       11:K       11:K       1 
      732       11:K       11:K       1 
      733       11:K       11:K       0.63 
      734       11:K       11:K       0.81 
      735       11:K       11:K       0.82 
      736       11:K       11:K       0.92 
      737       11:K       11:K       0.99 
      738       11:K       11:K       0.98 
      739       11:K       11:K       0.99 
      740       11:K       11:K       0.32 
      741       11:K       11:K       0.67 
      742       11:K       11:K       0.85 
      743       11:K       11:K       0.94 
      744       11:K       24:X   +   0.37 
      745       11:K       11:K       1 
      746       11:K       11:K       0.99 
      747       11:K       11:K       0.72 
      748       11:K       11:K       0.98 
      749       11:K       11:K       1 
      750       11:K       11:K       0.83 
      751       11:K        8:H   +   0.49 
      752       11:K       11:K       0.92 
      753       11:K       11:K       0.65 
      754       11:K       11:K       0.96 
      755       11:K       11:K       0.78 
      756       11:K       11:K       1 
      757       11:K       11:K       1 
      758       11:K       11:K       0.42 
      759       11:K       11:K       0.94 
      760       11:K       11:K       0.9 
      761       11:K       11:K       1 
      762       11:K       11:K       0.71 
      763       11:K       11:K       0.84 
      764       11:K        3:C   +   0.35 
      765       11:K       11:K       0.69 
      766       11:K       11:K       0.87 
      767       11:K        2:B   +   0.32 
      768       11:K        8:H   +   0.55 
      769       11:K       11:K       0.88 
      770       11:K       11:K       0.53 
      771       11:K       11:K       0.98 
      772       11:K       11:K       0.56 
      773       11:K        2:B   +   0.45 
      774       11:K       11:K       0.93 
      775       11:K       11:K       0.73 
      776       11:K       11:K       0.74 
      777       11:K       11:K       0.98 
      778       11:K       11:K       0.99 
      779       11:K       11:K       0.69 
      780       11:K       11:K       0.88 
      781       11:K       11:K       0.47 
      782       11:K       18:R   +   0.32 
      783       11:K       11:K       0.65 
      784       11:K       11:K       0.97 
      785       11:K       11:K       0.28 
      786       11:K       11:K       0.93 
      787       11:K       18:R   +   0.36 
      788       11:K       11:K       0.94 
      789        8:H        8:H       1 
      790        8:H        8:H       0.83 
      791        8:H        8:H       1 
      792        8:H        4:D   +   0.38 
      793        8:H        8:H       0.55 
      794        8:H        8:H       0.96 
      795        8:H        8:H       1 
      796        8:H        8:H       0.99 
      797        8:H        8:H       0.5 
      798        8:H        8:H       0.91 
      799        8:H        8:H       1 
      800        8:H        8:H       1 
      801        8:H        8:H       0.98 
      802        8:H        8:H       0.69 
      803        8:H        8:H       0.68 
      804        8:H        8:H       1 
      805        8:H        8:H       0.98 
      806        8:H        8:H       0.5 
      807        8:H        8:H       0.74 
      808        8:H        8:H       1 
      809        8:H        4:D   +   0.18 
      810        8:H        8:H       0.99 
      811        8:H        8:H       0.99 
      812        8:H        8:H       0.82 
      813        8:H        8:H       0.65 
      814        8:H        8:H       0.99 
      815        8:H        8:H       0.41 
      816        8:H        7:G   +   0.31 
      817        8:H        8:H       1 
      818        8:H        8:H       0.53 
      819        8:H        8:H       1 
      820        8:H        8:H       0.97 
      821        8:H        8:H       1 
      822        8:H        8:H       0.68 
      823        8:H        8:H       1 
      824        8:H       11:K   +   0.3 
      825        8:H        8:H       0.96 
      826        8:H        8:H       1 
      827        8:H        8:H       0.92 
      828        8:H        8:H       0.7 
      829        8:H        8:H       1 
      830        8:H       11:K   +   0.25 
      831        8:H        8:H       1 
      832        8:H        8:H       0.98 
      833        8:H        8:H       0.98 
      834        8:H        8:H       0.8 
      835        8:H       11:K   +   0.31 
      836        8:H        8:H       1 
      837        8:H        8:H       1 
      838        8:H        8:H       0.39 
      839        8:H        8:H       0.95 
      840        8:H        8:H       0.94 
      841        8:H        8:H       0.97 
      842        8:H        8:H       1 
      843        8:H        8:H       0.37 
      844        8:H        8:H       0.74 
      845        8:H        8:H       0.99 
      846       17:Q       17:Q       0.94 
      847       17:Q       17:Q       0.94 
      848       17:Q       17:Q       0.91 
      849       17:Q       18:R   +   0.24 
      850       17:Q       15:O   +   0.55 
      851       17:Q       17:Q       0.61 
      852       17:Q       17:Q       0.99 
      853       17:Q       17:Q       1 
      854       17:Q       17:Q       0.87 
      855       17:Q       17:Q       0.95 
      856       17:Q       17:Q       0.71 
      857       17:Q       17:Q       1 
      858       17:Q       17:Q       0.74 
      859       17:Q       17:Q       1 
      860       17:Q       17:Q       0.75 
      861       17:Q       17:Q       0.86 
      862       17:Q       17:Q       0.89 
      863       17:Q       17:Q       0.95 
      864       17:Q       17:Q       0.91 
      865       17:Q       17:Q       0.4 
      866       17:Q        2:B   +   0.27 
      867       17:Q       17:Q       0.96 
      868       17:Q       17:Q       0.61 
      869       17:Q       17:Q       0.97 
      870       17:Q       17:Q       0.44 
      871       17:Q       17:Q       0.89 
      872       17:Q       26:Z   +   0.53 
      873       17:Q       17:Q       1 
      874       17:Q       17:Q       0.98 
      875       17:Q       17:Q       0.59 
      876       17:Q       17:Q       0.99 
      877       17:Q       17:Q       1 
      878       17:Q       17:Q       0.99 
      879       17:Q       17:Q       0.96 
      880       17:Q       17:Q       0.97 
      881       17:Q       17:Q       0.92 
      882       17:Q       17:Q       0.9 
      883       17:Q       17:Q       0.28 
      884       17:Q       17:Q       0.88 
      885       17:Q       17:Q       0.57 
      886       17:Q       17:Q       1 
      887       17:Q       17:Q       0.7 
      888       17:Q       17:Q       0.99 
      889       17:Q       17:Q       0.99 
      890       17:Q       17:Q       1 
      891       17:Q       17:Q       0.48 
      892       17:Q       17:Q       0.95 
      893       17:Q       17:Q       0.91 
      894       17:Q       17:Q       0.92 
      895       17:Q       17:Q       0.64 
      896       17:Q       17:Q       0.56 
      897       17:Q       17:Q       0.96 
      898       17:Q       17:Q       0.88 
      899       17:Q       17:Q       0.46 
      900       17:Q       17:Q       0.79 
      901       17:Q       17:Q       0.79 
      902       17:Q       17:Q       0.48 
      903       17:Q       17:Q       0.76 
      904       17:Q       17:Q       0.98 
      905       17:Q       17:Q       0.99 
      906       17:Q       17:Q       0.98 
      907       17:Q       17:Q       0.7 
      908       17:Q       17:Q       0.58 
      909       17:Q       17:Q       0.68 
      910        2:B        2:B       0.34 
      911        2:B        5:E   +   0.24 
      912        2:B        2:B       0.51 
      913        2:B        2:B       0.8 
      914        2:B        2:B       0.98 
      915        2:B        2:B       0.87 
      916        2:B        2:B       0.56 
      917        2:B        2:B       0.68 
      918        2:B        2:B       0.98 
      919        2:B        2:B       1 
      920        2:B        2:B       0.52 
      921        2:B        2:B       0.97 
      922        2:B        2:B       0.95 
      923        2:B        2:B       1 
      924        2:B        2:B       1 
      925        2:B        2:B       0.69 
      926        2:B        2:B       0.64 
      927        2:B        2:B       0.7 
      928        2:B        2:B       0.98 
      929        2:B        2:B       1 
      930        2:B        2:B       0.99 
      931        2:B        2:B       0.89 
      932        2:B       18:R   +   0.29 
      933        2:B        2:B       0.77 
      934        2:B        2:B       0.48 
      935        2:B        2:B       0.51 
      936        2:B        2:B       0.56 
      937        2:B        2:B       0.53 
      938        2:B        2:B       0.97 
      939        2:B        2:B       0.69 
      940        2:B        2:B       0.84 
      941        2:B        2:B       1 
      942        2:B        2:B       0.93 
      943        2:B        2:B       0.99 
      944        2:B        2:B       0.19 
      945        2:B        2:B       0.71 
      946        2:B        2:B       0.6 
      947        2:B        2:B       0.36 
      948        2:B        2:B       0.33 
      949        2:B        2:B       0.77 
      950        2:B        2:B       0.66 
      951        2:B        2:B       0.36 
      952        2:B        2:B       0.61 
      953        2:B        7:G   +   0.21 
      954        2:B        2:B       1 
      955        2:B        2:B       0.64 
      956        2:B        2:B       0.61 
      957        2:B        2:B       0.68 
      958        2:B        2:B       0.94 
      959        2:B        2:B       0.83 
      960        2:B        2:B       1 
      961        2:B        2:B       1 
      962        2:B        2:B       1 
      963        2:B        2:B       0.79 
      964        2:B        2:B       0.97 
      965        2:B        2:B       0.98 
      966        2:B        2:B       0.94 
      967        2:B        2:B       0.36 
      968        2:B        2:B       0.99 
      969        2:B        2:B       0.7 
      970       25:Y       25:Y       0.84 
      971       25:Y       25:Y       0.99 
      972       25:Y       25:Y       0.99 
      973       25:Y       25:Y       1 
      974       25:Y       25:Y       1 
      975       25:Y       25:Y       0.74 
      976       25:Y       25:Y       0.93 
      977       25:Y       25:Y       1 
      978       25:Y       25:Y       0.99 
      979       25:Y       25:Y       0.68 
      980       25:Y       25:Y       0.44 
      981       25:Y       25:Y       0.94 
      982       25:Y       25:Y       0.71 
      983       25:Y       25:Y       1 
      984       25:Y       25:Y       0.87 
      985       25:Y       25:Y       0.95 
      986       25:Y       25:Y       0.99 
      987       25:Y       25:Y       0.56 
      988       25:Y       25:Y       0.99 
      989       25:Y       25:Y       1 
      990       25:Y       25:Y       0.79 
      991       25:Y       25:Y       0.84 
      992       25:Y       25:Y       1 
      993       25:Y       25:Y       0.89 
      994       25:Y       25:Y       0.39 
      995       25:Y       25:Y       0.99 
      996       25:Y       25:Y       0.89 
      997       25:Y       25:Y       0.88 
      998       25:Y       25:Y       1 
      999       25:Y       25:Y       0.75 
     1000       25:Y       25:Y       0.89 
     1001       25:Y       25:Y       1 
     1002       25:Y       25:Y       0.99 
     1003       25:Y       25:Y       0.87 
     1004       25:Y       25:Y       0.84 
     1005       25:Y       25:Y       0.37 
     1006       25:Y       25:Y       0.91 
     1007       25:Y       25:Y       0.99 
     1008       25:Y       25:Y       0.61 
     1009       25:Y       25:Y       0.87 
     1010       25:Y       25:Y       0.98 
     1011       25:Y       25:Y       0.9 
     1012       25:Y       25:Y       0.88 
     1013       25:Y       25:Y       0.8 
     1014       25:Y       25:Y       0.79 
     1015       25:Y       25:Y       0.43 
     1016       25:Y       25:Y       0.54 
     1017       25:Y       25:Y       0.57 
     1018       25:Y       25:Y       0.99 
     1019       25:Y       25:Y       1 
     1020       25:Y       25:Y       0.88 
     1021       25:Y       25:Y       0.79 
     1022       25:Y       25:Y       0.85 
     1023       25:Y       25:Y       0.97 
     1024       25:Y       25:Y       0.46 
     1025       25:Y       25:Y       0.97 
     1026       25:Y       25:Y       0.83 
     1027       25:Y       25:Y       1 
     1028       25:Y       25:Y       0.5 
     1029       25:Y       25:Y       0.61 
     1030       25:Y       25:Y       1 
     1031       25:Y       25:Y       0.99 
     1032       25:Y       25:Y       1 
     1033       25:Y       25:Y       1 
     1034       25:Y       25:Y       1 
     1035        9:I        9:I       0.97 
     1036        9:I        9:I       1 
     1037        9:I        9:I       1 
     1038        9:I        9:I       0.89 
     1039        9:I       10:J   +   0.77 
     1040        9:I        6:F   +   0.36 
     1041        9:I        9:I       1 
     1042        9:I        9:I       0.99 
     1043        9:I        9:I       1 
     1044        9:I        9:I       1 
     1045        9:I        9:I       1 
     1046        9:I        9:I       1 
     1047        9:I        9:I       0.71 
     1048        9:I        9:I       1 
     1049        9:I        9:I       1 
     1050        9:I        9:I       1 
     1051        9:I        9:I       0.99 
     1052        9:I        9:I       1 
     1053        9:I        9:I       0.99 
     1054        9:I        9:I       0.47 
     1055        9:I        9:I       1 
     1056        9:I        9:I       1 
     1057        9:I        9:I       1 
     1058        9:I        9:I       0.61 
     1059        9:I        9:I       1 
     1060        9:I        9:I       1 
     1061        9:I        9:I       1 
     1062        9:I        9:I       1 
     1063        9:I        9:I       1 
     1064        9:I        9:I       0.86 
